ProductName,QuantityOnHand,UnitCost,InventoryDate
Adjustable Race,875,$0.27,2012-05-09
Bearing Ball,875,$0.21,2012-05-09
BB Ball Bearing,700,$0.21,2012-05-09
Headset Ball Bearings,700,$0.26,2012-05-09
Blade,700,$0.20,2012-05-09
LL Crankarm,438,$0.20,2012-05-09
ML Crankarm,438,$0.18,2012-05-09
HL Crankarm,438,$0.23,2012-05-09
Chainring Bolts,875,$0.21,2012-05-09
Chainring Nut,875,$0.17,2012-05-09
Chainring,875,$0.29,2012-05-09
Crown Race,875,$0.19,2012-05-09
Chain Stays,875,$0.65,2012-05-09
Decal 1,875,$0.18,2012-05-09
Decal 2,875,$0.24,2012-05-09
Down Tube,700,$0.21,2012-05-09
Mountain End Caps,875,$0.21,2012-05-09
Road End Caps,875,$0.20,2012-05-09
Touring End Caps,875,$0.29,2012-05-09
Fork End,700,$0.17,2012-05-09
Freewheel,438,$0.23,2012-05-09
Flat Washer 1,875,$0.18,2012-05-09
Flat Washer 6,875,$0.20,2012-05-09
Flat Washer 2,875,$0.24,2012-05-09
Flat Washer 9,875,$0.22,2012-05-09
Flat Washer 4,875,$0.20,2012-05-09
Flat Washer 3,875,$0.20,2012-05-09
Flat Washer 8,875,$0.31,2012-05-09
Flat Washer 5,875,$0.20,2012-05-09
Flat Washer 7,875,$0.23,2012-05-09
Fork Crown,700,$0.20,2012-05-09
Front Derailleur Cage,700,$0.21,2012-05-09
Front Derailleur Linkage,700,$0.20,2012-05-09
Guide Pulley,700,$0.30,2012-05-09
LL Grip Tape,700,$0.53,2012-05-09
ML Grip Tape,700,$0.19,2012-05-09
HL Grip Tape,700,$0.22,2012-05-09
Thin-Jam Hex Nut 9,875,$0.23,2012-05-09
Thin-Jam Hex Nut 10,875,$0.30,2012-05-09
Thin-Jam Hex Nut 1,875,$0.39,2012-05-09
Thin-Jam Hex Nut 2,875,$0.51,2012-05-09
Thin-Jam Hex Nut 15,875,$0.20,2012-05-09
Thin-Jam Hex Nut 16,875,$0.21,2012-05-09
Thin-Jam Hex Nut 5,875,$0.20,2012-05-09
Thin-Jam Hex Nut 6,875,$0.42,2012-05-09
Thin-Jam Hex Nut 3,875,$0.22,2012-05-09
Thin-Jam Hex Nut 4,875,$0.27,2012-05-09
Thin-Jam Hex Nut 13,875,$0.18,2012-05-09
Thin-Jam Hex Nut 14,875,$0.37,2012-05-09
Thin-Jam Hex Nut 7,875,$0.19,2012-05-09
Thin-Jam Hex Nut 8,875,$0.25,2012-05-09
Thin-Jam Hex Nut 12,875,$0.30,2012-05-09
Thin-Jam Hex Nut 11,875,$0.42,2012-05-09
Hex Nut 5,875,$0.23,2012-05-09
Hex Nut 6,875,$0.34,2012-05-09
Hex Nut 16,875,$0.29,2012-05-09
Hex Nut 17,875,$0.21,2012-05-09
Hex Nut 7,875,$0.22,2012-05-09
Hex Nut 8,875,$0.22,2012-05-09
Hex Nut 9,875,$0.18,2012-05-09
Hex Nut 22,875,$0.20,2012-05-09
Hex Nut 23,875,$0.40,2012-05-09
Hex Nut 12,875,$0.28,2012-05-09
Hex Nut 13,875,$0.20,2012-05-09
Hex Nut 1,875,$0.24,2012-05-09
Hex Nut 10,875,$0.21,2012-05-09
Hex Nut 11,875,$0.37,2012-05-09
Hex Nut 2,875,$0.19,2012-05-09
Hex Nut 20,875,$0.19,2012-05-09
Hex Nut 21,875,$0.33,2012-05-09
Hex Nut 3,875,$0.25,2012-05-09
Hex Nut 14,875,$0.29,2012-05-09
Hex Nut 15,875,$0.26,2012-05-09
Hex Nut 4,875,$0.38,2012-05-09
Hex Nut 18,875,$0.31,2012-05-09
Hex Nut 19,875,$0.18,2012-05-09
Handlebar Tube,700,$0.18,2012-05-09
Head Tube,700,$0.28,2012-05-09
LL Hub,438,$0.51,2012-05-09
HL Hub,438,$0.23,2012-05-09
Keyed Washer,875,$0.23,2012-05-09
External Lock Washer 3,875,$0.20,2012-05-09
External Lock Washer 4,875,$0.20,2012-05-09
External Lock Washer 9,875,$0.25,2012-05-09
External Lock Washer 5,875,$0.42,2012-05-09
External Lock Washer 7,875,$0.23,2012-05-09
External Lock Washer 6,875,$0.21,2012-05-09
External Lock Washer 1,875,$0.24,2012-05-09
External Lock Washer 8,875,$0.24,2012-05-09
